"Country","Subject Descriptor","Units","Scale","Country/Series-specific Notes","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","Estimates Start After"
"Cambodia","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","24.217","26.591","29.394","33.181","36.682","34.898","36.797","39.838","43.304","47.328","49.799","2022"
"Cameroon","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","32.213","33.805","36.086","39.992","39.673","40.863","45.036","44.442","49.283","52.784","56.011","2023"
"Canada","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","1,556.508","1,527.996","1,649.266","1,725.300","1,743.725","1,655.685","2,022.382","2,190.411","2,173.340","2,241.253","2,225.341","2024"
"Central African Republic","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","1.696","1.825","2.072","2.28","2.279","2.389","2.585","2.46","2.602","2.831","2.932","2018"
"Chad","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","14.561","13.023","13.344","15.334","14.906","14.954","16.881","17.867","18.343","19.078","18.792","2023"
"Chile","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","242.515","249.306","276.357","295.428","278.04","254.06","315.411","301.27","335.627","330.21","343.823","2024"
"China","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","11,307.226","11,448.003","12,503.299","14,110.963","14,572.410","15,103.357","18,190.803","18,307.816","18,270.351","18,748.009","19,231.705","2024"
"Colombia","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","293.493","282.72","311.89","334.124","323.055","270.348","318.525","345.632","366.292","418.542","427.766","2024"
"Comoros","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","0.966","1.013","1.077","1.179","1.188","1.218","1.273","1.223","1.335","1.456","1.548","2022"
"Democratic Republic of the Congo","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","40.154","38.086","39.461","48.037","50.891","49.613","55.327","63.324","64.402","71.011","79.119","2020"
"Republic of Congo","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","11.891","10.928","11.83","14.781","13.977","11.485","13.387","13.967","14.169","14.893","15.281","2021"
"Costa Rica","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","56.442","58.847","60.517","62.422","64.412","62.382","64.954","69.235","86.509","95.365","102.591","2024"
"","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","45.815","48.408","52.512","58.522","60.383","63.119","72.833","71.075","79.63","87.096","94.483","2023"
"Croatia","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","51.012","52.64","56.166","61.694","61.472","57.919","69.055","71.26","84.416","92.506","98.951","2024"
"Cyprus","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","19.911","21.041","22.938","25.766","26.2","25.535","30.393","31.001","33.897","36.156","38.736","2024"
"Czech Republic","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","189.108","198.161","221.564","251.992","256.794","251.11","290.973","301.831","343.207","344.931","360.244","2024"
"Denmark","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","301.759","312.182","331.611","355.293","345.402","355.631","408.378","401.946","407.092","429.458","449.94","2023"
"Djibouti","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","2.424","2.605","2.763","2.913","3.089","3.144","3.393","3.563","3.917","4.257","4.587","2023"
"Dominica","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","0.541","0.576","0.522","0.555","0.612","0.504","0.555","0.607","0.654","0.697","0.742","2023"
"Dominican Republic","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","71.056","75.625","79.153","85.068","89.237","78.625","95.067","113.813","120.794","124.613","127.828","2024"
"Ecuador","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","97.21","97.671","104.467","107.479","107.596","95.865","107.179","116.133","121.147","121.728","125.677","2023"
"Egypt","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","350.119","351.443","246.826","263.156","317.894","382.525","423.3","475.231","393.828","383.109","347.342","2024"
"El Salvador","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","23.438","24.191","24.979","26.021","26.881","24.921","29.043","31.989","34.016","35.337","36.749","2023"
"Equatorial Guinea","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","13.187","11.238","12.197","13.309","11.365","9.908","12.222","13.717","12.339","12.544","12.684","2023"
"Eritrea","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","2.016","2.213","1.904","2.006","1.982","n/a","n/a","n/a","n/a","n/a","n/a","2019"
"Estonia","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","23.314","24.554","27.46","31.237","31.877","31.795","37.229","38.406","41.303","42.752","45.004","2024"
"Eswatini","Gross domestic product, current prices","U.S. dollars","Billions","See notes for:  Gross domestic product, current prices (National currency).","4.061","3.815","4.407","4.667","4.495","3.984","4.851","4.791","4.858","5.199","5.483","2022"
